text,annotation_70,annotation_72,annotation_47,annotation_80,annotation_79
COVID-19 Awards,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Cancel the 2020-2021 school year SOLs,pro-mitigation,unclear,,pro-mitigation,pro-mitigation
..,unclear,unclear,,unclear,unclear
Protect our nurses!,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,unclear,unclear,,anti-mitigation,unclear
COVID-19: Demand immediate release for those incarcerated in Knox County jail,pro-mitigation,pro-mitigation,,unclear,unclear
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",unclear,unclear,,unclear,unclear
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,anti-mitigation,pro-mitigation,,unclear,anti-mitigation
Prioritize Vaccinating Florida Teachers,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Save Plum Island Coffee Roasters,unclear,anti-mitigation,,unclear,anti-mitigation
Suspend Rent & Mortgage in Canada during COVID-19,pro-mitigation,unclear,,unclear,unclear
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,pro-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Appello per la pace in Etiopia,unclear,unclear,,unclear,unclear
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,unclear,unclear,,anti-mitigation,anti-mitigation
Rowan University: Universal Pass System,unclear,unclear,,unclear,unclear
Allow Athletic Therapists to treat their patients,anti-mitigation,anti-mitigation,anti-mitigation,unclear,
Allow not COVID related evictions,unclear,unclear,,unclear,anti-mitigation
#FreeNeko from Navajo County Jail,unclear,unclear,,unclear,unclear
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,unclear,unclear,,unclear,unclear
Allow Golf courses to open in Ontario,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Extend Winter Break at UBC,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",pro-mitigation,unclear,,pro-mitigation,anti-mitigation
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Help animal shelters during COVID-19,unclear,unclear,,pro-mitigation,unclear
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",unclear,unclear,,unclear,unclear
Lower Tuition at Hope College During Covid-19,unclear,unclear,,pro-mitigation,unclear
School Stays ON !,anti-mitigation,anti-mitigation,,pro-mitigation,anti-mitigation
Licensure Extension for TLLP due to COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
Cancel rental payment for international student of Australia during COVID-19 crisis,unclear,unclear,,pro-mitigation,unclear
Provide easily accessible and free COVID-19 testing across India.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Community Demands for Lesley University's Covid-19 Response,unclear,unclear,,pro-mitigation,anti-mitigation
Free Jay Regas,unclear,unclear,,unclear,unclear
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,unclear,unclear,,unclear,anti-mitigation
Hazard Pay For Essential Workers,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
SHUTDOWN BROWARD COUNTY,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Make the CDC report the number of coronavirus cases per state,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
End Hate Crimes Against Asian Americans,unclear,unclear,,pro-mitigation,unclear
"Lockdown India Completely Until 31st Mar (At least) - (Buses, Flights, Trains, Shops etc)",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Keep Yehaa Bob at Port Orleans,unclear,unclear,,unclear,unclear
Allow Fall Advantage participants to arrive for the Fall program.,anti-mitigation,anti-mitigation,,unclear,unclear
"Teachers, Students, and Staff are NOT Expendable",pro-mitigation,unclear,,unclear,anti-mitigation
Change the 2020 Year 12 VCE Exams,unclear,pro-mitigation,,unclear,unclear
Ban Eating Dogs & Cats in China - Now.,unclear,unclear,,pro-mitigation,pro-mitigation
Covid-19:   Salud a través del ejercicio!,unclear,unclear,,pro-mitigation,unclear
Call for the Resignation of Los Angeles Mayor Eric Garcetti for BLM Protest Response,unclear,unclear,unclear,unclear,
Lower the amount of work given to KHSD students,unclear,unclear,,unclear,unclear
Cancel GEBE bills during lockdown,unclear,unclear,,pro-mitigation,unclear
Suspension of rent payments to students during the Coronavirus pandemic.,unclear,unclear,,pro-mitigation,unclear
It now time for temples and religious institutions to donate for COVID relief,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Expedite NBCOT Exam Process,unclear,anti-mitigation,,unclear,pro-mitigation
“TAKE  ACTION AGAINST CORRUPTION NOW”,unclear,unclear,,unclear,unclear
Pharmacy Personnel MUST be included in Gov. Wolf's COVID-19 PA Hazard Pay Grant Program!!!,unclear,unclear,,pro-mitigation,pro-mitigation
University students should not have to pay last instalment of rent if they move out,unclear,unclear,,unclear,unclear
Recall WI Governor Tony Evers,anti-mitigation,unclear,,unclear,unclear
Transparency for Missouri beef consumers and producers,unclear,unclear,,unclear,unclear
Virginia Covid-19 Mandatory Shelter in Place,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Open Texas Nursing Homes and Assisted Living Centers,anti-mitigation,anti-mitigation,,anti-mitigation,pro-mitigation
Claps don't pay the bills - give all NHS workers a 15% pay rise #NHSPay15,pro-mitigation,unclear,,pro-mitigation,pro-mitigation
Mandate PPE for Dental Hygienists NOW!,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
Carteret County Surf Now,unclear,anti-mitigation,,anti-mitigation,unclear
"COVID-19 Pass/Fail Grading Initiative for FCPS - Frederick, MD",unclear,unclear,,pro-mitigation,unclear
Provide Food and Safe Transport to Stranded Migrants during COVID-19 Lockdown,pro-mitigation,pro-mitigation,,pro-mitigation,unclear
Save Newquay Killacourt,unclear,unclear,,unclear,anti-mitigation
Mandate the collection of disaggregated health data for Canadians during COVID-19,unclear,pro-mitigation,,pro-mitigation,anti-mitigation
Help Georgia Restaurants Survive COVID-19,anti-mitigation,unclear,,pro-mitigation,anti-mitigation
SAVE OUR SMALL BUSINESS COMMUNITY!! Allow restaurants to be able to service outdoor dining,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
UHC refuses to pay equitably for COVID tests,pro-mitigation,unclear,,anti-mitigation,anti-mitigation
UT AUSTIN NEEDS TO CONTACT ALL RESIDENTS AND STAFF WHEN COVID-19 CASES EMERGE,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Pengurangan uang sekolah selama Home Learning karena dampak ekonomi dari Covid - 19.,unclear,unclear,,pro-mitigation,unclear
"COVID-19 : Give the 320,000 homeless people in the U​.​K. shelter",unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Review of the constitution of the South African CoVID-19 National Command Council,unclear,anti-mitigation,,pro-mitigation,pro-mitigation
Save Pine Island Club,unclear,unclear,,unclear,anti-mitigation
Reopen Gyms To Help Combat COVID-19,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Make COVID-19 Testing Free for Senior Citizens & Subsidised for All #PatientsBeforeProfits,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
We want to feel safe on social media platforms,unclear,unclear,,unclear,pro-mitigation
Pass/Fail Grading Option at Adelphi University in response to COVID-19,pro-mitigation,unclear,unclear,unclear,
"Prisoner's in danger of Covid-19. ""Please Help""
#PrisonersLivesMatterToo",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Arrest Mocha Uson for Publishing False News in her Facebook Page,pro-mitigation,pro-mitigation,,unclear,pro-mitigation
COVID-19: Allow free hospital parking for BC's health care workers.,unclear,unclear,,pro-mitigation,pro-mitigation
REDUCTION IN SCHOOL FEES DURING COVID-19. Schools to run at no profit no loss till then,pro-mitigation,unclear,,unclear,pro-mitigation
UW 2020 Commencement,unclear,pro-mitigation,,unclear,unclear
Private schools to charge 50% tuition fees for online classes.,unclear,unclear,,pro-mitigation,unclear
"Plea for $1,000,000 for COVID-19 Frontline Workers Families",unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Lift covid restrictions on Beauty industry!,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
COVID - Suspend School Until We Have Clarity,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
For NHS senior management to protect workers from COVID-19 as a priority,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Early release for Hector Jimenez via medical parole or clemency due to COVID-19,pro-mitigation,unclear,,pro-mitigation,pro-mitigation
No mandatory Covid-19 vaccine in Canada,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Cancelling of HITS Events during COVID pandemic,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Stop the Suppression and Redirection of Covid-19 Data,unclear,pro-mitigation,,pro-mitigation,pro-mitigation
Keep Community Based Adult Services (CBAS) Available in California,anti-mitigation,anti-mitigation,,pro-mitigation,anti-mitigation
"Close, Florida, close the beaches, Gov. DeSantis!",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Nurses must be exempted from paying tax during covid-19.,unclear,unclear,,pro-mitigation,pro-mitigation
Pass all SBISD students for the spring semester,unclear,unclear,,unclear,pro-mitigation
Please Close Philadelphia Public Schools due to Coronavirus/COVID-19! Safety first!,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"Support and reward healthcare workers, COVID-19",unclear,unclear,,pro-mitigation,pro-mitigation
Stop UC Davis From Cutting Financial Aid During a Pandemic,pro-mitigation,unclear,,pro-mitigation,unclear
