text,annotation_25,annotation_21,annotation_77,annotation_23
Save Western Ghats from annihilation,unclear,unclear,unclear,unclear
Save Beacon Hill Park,unclear,unclear,unclear,anti-mitigation
Government of India: Don't Tax Medical Bills,unclear,unclear,unclear,pro-mitigation
NO FAILING @ UCR,unclear,unclear,unclear,unclear
WIAA - Let them play football!,anti-mitigation,anti-mitigation,unclear,anti-mitigation
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,unclear,unclear,unclear,unclear
Schedule Disneyland to reopen at a later date.,,"pro-mitigation,pro-mitigation",pro-mitigation,anti-mitigation
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Cancel 12 th board exam,unclear,pro-mitigation,unclear,pro-mitigation
Close all CCPS schools to limit spread of Coronavirus,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
SAVE OUR FREEDOMS- No mandated mask-wearing,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Appeal to the President of India on issues thrown up during lockdown,unclear,unclear,unclear,anti-mitigation
Waive off School Fee at Indian Schools in Oman due to COVID-19,unclear,unclear,unclear,pro-mitigation
Covid-19 Youth Brigades exploited,unclear,unclear,unclear,pro-mitigation
Protection from COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,unclear,unclear,unclear,unclear
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
Close Holland and Barrett Stores. (Covid-19 Crisis),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,pro-mitigation,unclear,unclear,pro-mitigation
Petition for holidays in Colleges in concern of COVID-19,unclear,unclear,unclear,pro-mitigation
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,pro-mitigation,unclear,unclear,unclear
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",unclear,unclear,unclear,unclear
Duval County Beach Access (COVID-19),unclear,unclear,unclear,anti-mitigation
Save Local Flower Shops - Let Them Deliver On Mother's Day,anti-mitigation,unclear,anti-mitigation,unclear
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,unclear,anti-mitigation,unclear,pro-mitigation
Ticketmaster Refund Our Money Now! - COVID 19,pro-mitigation,unclear,unclear,unclear
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",unclear,unclear,unclear,unclear
Get British performers home from cruise ships #GetBenhome #Covid 19,pro-mitigation,unclear,anti-mitigation,unclear
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,unclear,anti-mitigation,anti-mitigation,pro-mitigation
#PostPoneJEEandNEET in COVID,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,unclear,unclear,unclear,unclear
Reverse Postponement of Winter & Spring Sports,anti-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
#letthedjsplay,unclear,anti-mitigation,anti-mitigation,unclear
Pass all CSUDH Students for Spring 2020 with an A letter grade,unclear,unclear,unclear,unclear
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",unclear,unclear,unclear,unclear
