text,annotation_34,annotation_5,annotation_20,annotation_4
"I’m so tired of the fear mongering. Every variant has been a red alert for the media. 

The vaccines work let’s just move on.",anti-mitigation,anti-mitigation,unclear,pro-mitigation
We need a vaccine soonest.  Not sure why Russia can get one out before us.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
The lack of leadership on this is astonishing,unclear,unclear,unclear,unclear
"Alternative reality is really gaining traction.

It’s probably true that if we had Fox News in 1955, we would probably still be dealing with polio.",pro-mitigation,unclear,unclear,unclear
"I would be much more likely to patronize a business such as an airline, restaurant, concert venue, theater, store, etc of I knew the employees are vaccinated.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"There are many immune compromised people who get reinfected, or for who the vaccine doesn't work well. What percentage are these people? I feel bad that they are so at risk. However, every person can't mask for life because of them.",anti-mitigation,anti-mitigation,anti-mitigation,unclear
"Though I like the restaurant where I have eaten, because it is quiet, even when full, it is not the place, but the food.  We order take-out weekly and the restaurant is doing well.  It serves Vietnamese food.  American food I can prepare.",unclear,unclear,anti-mitigation,unclear
One of the commenters said it best.   Business needs to provide a safe work place.   That includes protection from the spread of disease.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"It’s really unfortunate that the US has turned into such a society of people whose overwhelming concern is for their rights, and not at all for their responsibilities.

If all people who could get vaccinated did, instead of cavilling and believing conspiracy theories (the latest ones about reproduction and shedding vaccine would be funny if not so harmful) we wouldn’t be in this place. 

We’d be well on the way to herd immunity so that those who really can’t get the vaccine—babies and the immunocompromised etc—wouldn’t have to worry. There’s be no need for any of this fuss; only people travelling overseas would need a vaccine passport. But here we are. And as part of the generation that willingly eradicated smallpox, I’m pretty disgusted with the US.",pro-mitigation,unclear,anti-mitigation,pro-mitigation
"Hmm. Businesses may require vaccinations for their employees. They can refuse employment to those who decline or require N95 masks for those who decline. Very likely businesses will generally win litigation on these issues. From a business standpoint it may  be a good move. How many people would prefer to fly, attend concert venues, etc where vaccination is required for attendance? The first airline that requires vaccinations for all employees and all passengers I suspect will be preferred by fliers to those that do not and the rest will follow. In addition to good business the move by these private entities can play an important role in ending the pandemic and save many thousands of lives.",pro-mitigation,pro-mitigation,pro-mitigation,unclear
Say companies cannot require vaccination for people to go back to the office. That means they are requiring people to go back to the office with unvaccinated people. It would seem to be a much bigger liability to have people get sick or die than to have people refuse (except for medical conditions) to get the vaccine.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Maybe it would be a good idea to either blur or crop out this person’s badge.,unclear,unclear,unclear,unclear
"Masking is patriotic
Vaccination is patriotic

Don’t pretend to be patriotic on July 4 if you can’t do the simple easy free thing and protect others.  you are just being selfish.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
If employees are required to be on-site without a remote-work alternative vaccinations should also be required.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Companies have been drug testing for decades and no one cares about that invasion of privacy.  So until drug test are illegal, mandatory vaccines isn’t an invasion of privacy.",pro-mitigation,unclear,unclear,pro-mitigation
